table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Maryland: April 1, 2000 to July 1, 2009",,,,,,,,,,,,
"Sex, Race, and Hispanic Origin",Population Estimates,,,,,,,,,,"April 1, 2000",
,"July 1, 2009","July 1, 2008","July 1, 2007","July 1, 2006","July 1, 2005","July 1, 2004","July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates Base,Census
...Asian,"152,827","147,942","143,839","140,168","136,174","131,470","126,713","121,857","116,851","112,165","110,987","110,987"
...NHPI,"1,653","1,596","1,514","1,471","1,408","1,322","1,266","1,193","1,120","1,060","1,052","1,052"
..Two or More Races,"43,934","42,879","41,803","40,744","39,660","38,299","37,093","35,680","34,298","32,787","32,475","32,475"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"1,692,197","1,694,649","1,701,974","1,712,980","1,723,648","1,730,174","1,732,503","1,730,368","1,724,836","1,718,673","1,716,516","1,716,490"
...Black,"905,620","895,554","890,046","883,628","874,292","863,258","850,723","837,771","822,572","807,487","805,044","805,041"
...AIAN,"20,076","19,899","19,805","19,691","19,577","19,337","19,104","18,881","18,618","18,264","18,201","18,201"
...Asian,"168,833","163,559","159,034","154,931","150,501","145,237","140,015","134,565","129,002","123,698","122,400","122,400"
...NHPI,"3,885","3,783","3,656","3,581","3,447","3,310","3,199","3,047","2,900","2,763","2,735","2,735"
.HISPANIC,"193,307","184,988","175,738","165,958","155,538","145,562","136,358","127,496","118,706","110,749","109,672","109,672"
..One Race,"188,532","180,406","171,407","161,913","151,781","142,032","133,066","124,406","115,794","108,010","106,965","106,965"
...White,"163,769","156,074","148,269","140,646","132,322","123,952","116,221","108,357","100,205","92,868","91,957","91,957"
...Black,"19,217","19,003","18,102","16,600","15,191","14,157","13,216","12,657","12,458","12,281","12,166","12,166"
...AIAN,"2,756","2,591","2,439","2,311","2,154","1,994","1,856","1,727","1,576","1,454","1,446","1,446"
...Asian,"2,048","2,015","1,909","1,734","1,566","1,438","1,336","1,258","1,177","1,068","1,059","1,059"
...NHPI,742,723,688,622,548,491,437,407,378,339,337,337
..Two or More Races,"4,775","4,582","4,331","4,045","3,757","3,530","3,292","3,090","2,912","2,739","2,707","2,707"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"167,806","159,942","151,923","144,062","135,493","126,922","118,996","110,966","102,664","95,170","94,238","94,238"
...Black,"22,216","21,887","20,812","19,122","17,539","16,357","15,274","14,572","14,268","13,976","13,838","13,838"
...AIAN,"4,522","4,291","4,079","3,872","3,605","3,369","3,154","2,960","2,742","2,572","2,557","2,557"
...Asian,"3,243","3,153","2,975","2,703","2,464","2,283","2,110","1,989","1,846","1,704","1,685","1,685"
...NHPI,"1,056","1,023",966,884,791,711,650,593,550,510,505,505
1 'In combination' means in combination with one or more other races.  The sum of the five race groups adds to more than the total population because individuals may report more than one race.,,,,,,,,,,,,
"Note: The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program and geographic program revisions.  Hispanic origin is considered an ethnicity, not a race.  Hispanics may be of any race.  Abbreviations: Black = Black or African American; AIAN = American Indian and Alaska Native; NHPI = Native Hawaiian and Other Pacific Islander.  The original race data from Census 2000 are modified to eliminate the ""Some Other Race"" category. For more information see https://www.census.gov/popest/archives/files/MRSF-01-US1.html.",,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Maryland: April 1, 2000 to July 1, 2009 (SC-EST2009-03-24)",,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,
Release Date: June 2010,,,,,,,,,,,,
,,,,,,,,,,,,
