table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Indiana: April 1, 2000 to July 1, 2009",,,,,,,,,,,,
"Sex, Race, and Hispanic Origin",Population Estimates,,,,,,,,,,"April 1, 2000",
,"July 1, 2009","July 1, 2008","July 1, 2007","July 1, 2006","July 1, 2005","July 1, 2004","July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates Base,Census
...Asian,"46,379","44,538","42,797","41,134","39,222","37,397","35,612","33,866","32,240","30,783","30,441","30,441"
...NHPI,"1,062","1,017",991,969,927,897,871,845,812,794,791,791
..Two or More Races,"37,013","36,060","35,011","33,727","32,523","31,369","30,293","29,216","28,113","27,057","26,793","26,793"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"2,739,572","2,734,209","2,726,937","2,719,711","2,711,765","2,707,608","2,705,339","2,702,379","2,702,005","2,698,737","2,695,733","2,695,718"
...Black,"318,378","314,214","309,687","304,832","299,047","294,723","290,672","286,747","282,931","278,562","277,619","277,619"
...AIAN,"20,119","19,942","19,715","19,409","19,085","18,812","18,541","18,338","18,064","17,784","17,757","17,757"
...Asian,"54,953","52,864","50,849","48,855","46,608","44,486","42,416","40,386","38,473","36,733","36,259","36,259"
...NHPI,"2,425","2,338","2,281","2,213","2,137","2,057","1,983","1,922","1,854","1,792","1,776","1,776"
.HISPANIC,"162,052","155,761","148,556","140,776","132,462","124,345","117,480","110,821","104,972","98,184","97,227","97,224"
..One Race,"159,033","152,916","145,879","138,270","130,136","122,194","115,486","108,962","103,236","96,591","95,653","95,650"
...White,"148,876","143,362","136,876","129,685","122,032","114,566","108,257","102,112","96,736","90,550","89,654","89,651"
...Black,"6,541","6,146","5,795","5,527","5,213","4,908","4,651","4,413","4,196","3,919","3,887","3,887"
...AIAN,"2,189","2,060","1,935","1,843","1,744","1,638","1,557","1,466","1,381","1,284","1,275","1,275"
...Asian,963,906,853,813,761,717,672,634,603,543,543,543
...NHPI,464,442,420,402,386,365,349,337,320,295,294,294
..Two or More Races,"3,019","2,845","2,677","2,506","2,326","2,151","1,994","1,859","1,736","1,593","1,574","1,574"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"151,574","145,895","139,263","131,920","124,103","116,484","110,033","103,762","98,282","91,967","91,058","91,055"
...Black,"7,944","7,479","7,058","6,692","6,286","5,905","5,568","5,263","4,993","4,649","4,612","4,612"
...AIAN,"3,543","3,345","3,155","2,996","2,816","2,631","2,482","2,341","2,196","2,055","2,044","2,044"
...Asian,"1,727","1,626","1,514","1,437","1,330","1,234","1,163","1,087","1,017",926,909,909
...NHPI,752,701,661,632,589,550,513,494,463,417,414,414
1 'In combination' means in combination with one or more other races.  The sum of the five race groups adds to more than the total population because individuals may report more than one race.,,,,,,,,,,,,
"Note: The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program and geographic program revisions.  Hispanic origin is considered an ethnicity, not a race.  Hispanics may be of any race.  Abbreviations: Black = Black or African American; AIAN = American Indian and Alaska Native; NHPI = Native Hawaiian and Other Pacific Islander.  The original race data from Census 2000 are modified to eliminate the ""Some Other Race"" category. For more information see https://www.census.gov/popest/archives/files/MRSF-01-US1.html.",,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Indiana: April 1, 2000 to July 1, 2009 (SC-EST2009-03-18)",,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,
Release Date: June 2010,,,,,,,,,,,,
,,,,,,,,,,,,
