table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Utah: April 1, 2000 to July 1, 2009",,,,,,,,,,,,
"Sex, Race, and Hispanic Origin",Population Estimates,,,,,,,,,,"April 1, 2000",
,"July 1, 2009","July 1, 2008","July 1, 2007","July 1, 2006","July 1, 2005","July 1, 2004","July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates Base,Census
..One Race,"158,795","151,785","142,356","132,018","123,207","116,673","110,775","105,169","99,598","93,363","92,201","92,201"
...White,"150,050","143,643","134,924","125,290","117,073","110,977","105,465","100,225","95,026","89,230","88,101","88,101"
...Black,"4,183","3,756","3,293","2,858","2,500","2,237","2,012","1,805","1,590","1,337","1,330","1,330"
...AIAN,"3,090","2,993","2,838","2,651","2,479","2,364","2,250","2,132","2,035","1,919","1,897","1,897"
...Asian,938,875,806,741,691,648,616,592,554,515,516,516
...NHPI,534,518,495,478,464,447,432,415,393,362,357,357
..Two or More Races,"2,713","2,550","2,344","2,146","1,991","1,864","1,763","1,662","1,567","1,465","1,441","1,441"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"152,568","146,010","137,105","127,295","118,929","112,714","107,105","101,769","96,486","90,595","89,446","89,446"
...Black,"4,932","4,459","3,922","3,430","3,033","2,728","2,482","2,257","2,011","1,728","1,713","1,713"
...AIAN,"4,431","4,240","4,004","3,721","3,489","3,324","3,162","2,992","2,863","2,705","2,670","2,670"
...Asian,"1,754","1,642","1,494","1,359","1,244","1,171","1,107","1,050",969,901,894,894
...NHPI,924,897,833,781,742,694,667,629,581,535,523,523
1 'In combination' means in combination with one or more other races.  The sum of the five race groups adds to more than the total population because individuals may report more than one race.,,,,,,,,,,,,
"Note: The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program and geographic program revisions.  Hispanic origin is considered an ethnicity, not a race.  Hispanics may be of any race.  Abbreviations: Black = Black or African American; AIAN = American Indian and Alaska Native; NHPI = Native Hawaiian and Other Pacific Islander.  The original race data from Census 2000 are modified to eliminate the ""some other race"" category. For more information see https://www.census.gov/popest/archives/files/MRSF-01-US1.html.",,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Utah: April 1, 2000 to July 1, 2009 (SC-EST2009-03-49)",,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,
Release Date: June 2010,,,,,,,,,,,,
,,,,,,,,,,,,
