table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Minnesota: April 1, 2000 to July 1, 2009",,,,,,,,,,,,
"Sex, Race, and Hispanic Origin",Population Estimates,,,,,,,,,,"April 1, 2000",
,"July 1, 2009","July 1, 2008","July 1, 2007","July 1, 2006","July 1, 2005","July 1, 2004","July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates Base,Census
...Asian,"98,939","96,298","93,606","90,695","87,782","85,221","82,624","80,205","77,368","74,347","73,530","73,530"
...NHPI,"1,255","1,197","1,129","1,073","1,016",979,927,890,831,780,777,777
..Two or More Races,"38,544","37,511","36,344","35,178","34,164","33,227","32,221","31,355","30,373","29,374","29,055","29,055"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"2,293,587","2,285,217","2,276,772","2,267,925","2,260,488","2,257,722","2,253,150","2,250,484","2,245,513","2,234,921","2,230,018","2,230,011"
...Black,"130,991","128,431","124,878","120,470","115,933","112,567","108,677","105,052","101,132","96,907","96,422","96,427"
...AIAN,"42,874","42,463","41,963","41,462","40,914","40,452","40,012","39,621","39,229","38,707","38,540","38,540"
...Asian,"110,557","107,592","104,532","101,205","97,945","95,020","92,056","89,318","86,150","82,738","81,834","81,834"
...NHPI,"3,559","3,463","3,336","3,211","3,086","2,978","2,866","2,766","2,630","2,491","2,493","2,493"
.HISPANIC,"105,027","101,165","96,863","92,313","87,734","83,536","79,576","75,503","71,230","66,149","65,459","65,459"
..One Race,"101,984","98,209","94,050","89,673","85,260","81,201","77,343","73,326","69,111","64,101","63,437","63,437"
...White,"90,848","87,314","83,837","80,667","77,361","74,403","71,306","67,626","63,784","59,203","58,573","58,573"
...Black,"5,708","5,542","5,116","4,426","3,831","3,267","2,889","2,741","2,563","2,343","2,325","2,325"
...AIAN,"3,796","3,730","3,554","3,234","2,906","2,549","2,275","2,115","1,948","1,784","1,770","1,770"
...Asian,"1,276","1,268","1,198","1,043",903,766,681,655,631,594,592,592
...NHPI,356,355,345,303,259,216,192,189,185,177,177,177
..Two or More Races,"3,043","2,956","2,813","2,640","2,474","2,335","2,233","2,177","2,119","2,048","2,022","2,022"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"93,606","90,008","86,393","83,072","79,614","76,531","73,342","69,611","65,717","61,060","60,413","60,413"
...Black,"7,402","7,194","6,675","5,875","5,192","4,533","4,084","3,916","3,715","3,438","3,403","3,403"
...AIAN,"5,240","5,139","4,915","4,509","4,104","3,693","3,394","3,194","3,018","2,837","2,805","2,805"
...Asian,"1,787","1,758","1,665","1,472","1,299","1,130","1,027",993,939,905,899,899
...NHPI,523,513,486,439,387,331,305,291,280,273,270,270
1 'In combination' means in combination with one or more other races.  The sum of the five race groups adds to more than the total population because individuals may report more than one race.,,,,,,,,,,,,
"Note: The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program and geographic program revisions.  Hispanic origin is considered an ethnicity, not a race.  Hispanics may be of any race.  Abbreviations: Black = Black or African American; AIAN = American Indian and Alaska Native; NHPI = Native Hawaiian and Other Pacific Islander.  The original race data from Census 2000 are modified to eliminate the ""Some Other Race"" category. For more information see https://www.census.gov/popest/archives/files/MRSF-01-US1.html.",,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Minnesota: April 1, 2000 to July 1, 2009 (SC-EST2009-03-27)",,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,
Release Date: June 2010,,,,,,,,,,,,
,,,,,,,,,,,,
