table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Kansas: April 1, 2000 to July 1, 2009",,,,,,,,,,,,
"Sex, Race, and Hispanic Origin",Population Estimates,,,,,,,,,,"April 1, 2000",
,"July 1, 2009","July 1, 2008","July 1, 2007","July 1, 2006","July 1, 2005","July 1, 2004","July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates Base,Census
...Black,"82,022","81,083","79,888","78,800","77,923","77,795","77,345","77,113","76,359","75,873","75,720","75,695"
...AIAN,"12,057","11,898","11,812","11,809","11,835","11,721","11,616","11,493","11,348","11,238","11,200","11,195"
...Asian,"32,018","31,041","30,169","29,362","28,854","28,145","27,365","26,453","25,321","24,340","24,094","24,090"
...NHPI,801,771,750,699,680,671,626,604,602,587,588,588
..Two or More Races,"24,084","23,343","22,738","22,081","21,657","21,200","20,868","20,347","19,791","19,346","19,181","19,178"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"1,166,400","1,162,408","1,160,878","1,156,764","1,157,670","1,156,979","1,158,493","1,158,158","1,158,217","1,159,982","1,159,355","1,159,212"
...Black,"92,069","90,675","89,090","87,600","86,435","86,046","85,357","84,843","83,758","83,005","82,748","82,721"
...AIAN,"23,235","22,942","22,768","22,675","22,665","22,477","22,363","22,148","21,898","21,721","21,631","21,626"
...Asian,"37,282","36,117","35,045","34,051","33,399","32,549","31,662","30,588","29,291","28,163","27,876","27,871"
...NHPI,"1,759","1,705","1,656","1,572","1,528","1,483","1,444","1,390","1,367","1,312","1,308","1,308"
.HISPANIC,"123,600","119,058","114,670","109,972","106,416","102,710","99,092","95,359","91,736","88,281","87,453","87,433"
..One Race,"121,304","116,867","112,579","107,997","104,538","100,917","97,375","93,710","90,150","86,764","85,956","85,936"
...White,"113,622","109,620","105,733","101,570","98,504","95,225","91,928","88,495","85,178","82,043","81,271","81,252"
...Black,"4,350","4,055","3,785","3,529","3,293","3,080","2,922","2,762","2,591","2,421","2,401","2,401"
...AIAN,"2,330","2,231","2,145","2,041","1,938","1,849","1,783","1,733","1,680","1,629","1,614","1,613"
...Asian,738,707,673,627,583,549,532,514,496,472,471,471
