Year,State,whf,bhf,aihf,ashf,pihf,wnhf,bnhf,ainhf,asnhf,pinhf,whm,bhm,aihm,ashm,pihm,wnhm,bnhm,ainhm,asnhm,pinhm
2013,Massachusetts,290097,64231,14706,5396,2675,2643938,259327,19526,233447,4310,286402,59096,15094,5069,2840,2477893,242688,18473,215311,3945
2014,Massachusetts,299447,66600,15249,5621,2781,2637972,263916,19645,241580,4393,296232,61675,15697,5340,2977,2474560,247652,18616,222815,4054
2010,Michigan,190980,20088,11968,3284,1082,3926821,776416,63532,147014,3998,198917,18831,11909,3208,1012,3811334,702555,59915,139973,3984
2011,Michigan,195303,20522,12226,3374,1118,3916037,777611,63737,152032,4100,202971,19228,12109,3296,1048,3804058,703049,60254,144891,4097
2012,Michigan,199942,21023,12494,3463,1137,3908490,778418,64010,157440,4217,207400,19736,12418,3412,1085,3801260,704198,60576,150390,4185
2013,Michigan,204357,21520,12768,3594,1148,3904856,778301,64334,163615,4363,211679,20280,12690,3501,1109,3800326,704201,60893,156619,4336
2014,Michigan,208338,21987,13048,3688,1187,3899488,778884,64733,169663,4462,215637,20876,12972,3609,1134,3798841,705512,61321,162643,4439
2010,Minnesota,106462,7883,8858,2354,735,2277378,158014,46443,126306,2675,118547,8282,9671,2443,842,2226294,161949,44458,120147,2639
2011,Minnesota,109091,8170,9398,2509,771,2281944,163299,47040,131316,2765,120823,8522,10191,2583,870,2233964,167611,44988,125260,2749
2012,Minnesota,111721,8415,9697,2592,800,2285859,168574,47436,136247,2819,123178,8756,10554,2664,890,2237804,173361,45435,130332,2832
2013,Minnesota,114819,8716,9904,2674,829,2292412,174300,48087,141790,2937,126045,9047,10755,2780,915,2245716,179206,45932,135719,2934
2014,Minnesota,117659,9025,10074,2762,847,2296507,179534,48493,146764,3024,128713,9358,10923,2846,922,2252160,184857,46361,140847,3044
2010,Mississippi,27990,4756,1837,672,435,890082,588710,12227,16915,1116,40531,5492,2548,778,635,857252,523519,11510,15132,1093
2011,Mississippi,29219,4895,1887,701,439,888914,591358,12454,17660,1114,41173,5637,2599,750,642,858429,526063,11670,15741,1111
2012,Mississippi,29952,4949,1941,700,442,888895,593597,12703,18202,1146,41381,5645,2586,760,637,859878,528965,11840,16246,1155
2013,Mississippi,30963,5163,1989,743,459,887316,596872,12844,19014,1194,42191,5778,2588,790,664,858778,531649,12035,16972,1231
2014,Mississippi,31832,5293,2037,757,454,885414,599344,12926,19558,1217,42702,5918,2585,817,652,856259,533234,12155,17547,1257
2010,Missouri,91964,7647,5623,1773,993,2521822,387999,32980,64171,5160,100469,7701,6005,1897,1072,2432775,351359,32286,58270,5071
2011,Missouri,94746,7861,5806,1931,1005,2522330,390025,33263,66339,5377,102871,8023,6199,1977,1122,2434588,353422,32697,60193,5301
2012,Missouri,97695,8109,6030,2021,1036,2522575,392350,33619,68472,5536,105742,8309,6445,2065,1134,2435901,355633,33061,62393,5508
2013,Missouri,100687,8452,6165,2116,1061,2523405,395231,34001,71050,5774,108859,8639,6576,2150,1181,2438837,359343,33545,64906,5735
2014,Missouri,103871,8707,6317,2251,1115,2524609,397585,34434,73563,5978,111746,8969,6732,2225,1193,2441729,362157,33970,67337,5949
2010,Montana,11970,443,2580,335,123,442985,3016,37678,5681,727,12358,515,2580,310,146,447049,4282,36984,4449,817
2011,Montana,12534,470,2854,393,135,444574,3485,38035,5994,734,12979,547,2810,327,154,449046,4795,37329,4710,857
2012,Montana,13257,481,3103,422,138,446437,3918,38511,6285,741,13631,574,3030,349,150,451114,5209,37768,4960,881
2013,Montana,13859,515,3169,455,148,450078,4010,39035,6626,812,14391,597,3150,387,177,454474,5326,38329,5239,948
2014,Montana,14426,533,3256,496,157,452987,4220,39461,7053,843,14984,637,3237,415,173,457751,5612,38852,5586,997
2010,Nebraska,72706,2971,5518,1016,668,774618,47541,12451,20709,1100,80893,3152,6199,1045,733,752995,48579,11637,19348,1101
2011,Nebraska,75189,3103,5850,1042,670,775785,48359,12542,21666,1148,83276,3335,6544,1097,722,755524,49663,11748,20222,1139
2012,Nebraska,77711,3260,6215,1094,682,777735,49226,12618,22867,1185,85697,3609,6871,1178,743,757571,50522,11933,21356,1174
2013,Nebraska,80477,3392,6366,1122,684,778945,50137,12698,23939,1223,88293,3724,7020,1247,738,760698,51752,12099,22427,1210
2014,Nebraska,82592,3493,6462,1142,693,780557,51012,12933,25126,1235,90597,3883,7113,1294,768,763401,52922,12334,23552,1246
2010,Nevada,321892,14695,13672,9618,3473,751276,117975,21133,126167,14344,338603,14488,14591,9371,3487,777683,119808,20013,106707,14141
2011,Nevada,328813,15225,14091,9887,3614,747521,120214,21242,129861,14605,343828,14867,14924,9658,3649,773977,121361,20064,109702,14358
2012,Nevada,337131,15860,14478,10200,3707,748835,125339,21577,134558,14942,351254,15371,15361,10055,3800,775276,126422,20372,113227,14691
2013,Nevada,345907,16563,15091,10571,3894,750543,128699,21858,140288,15488,358915,15977,15756,10398,3947,776692,129043,20505,117929,15102
2014,Nevada,355833,17299,15794,11023,4039,755136,133113,22292,146398,16063,367990,16663,16419,10828,4097,781158,132867,20845,122998,15576
2010,New Hampshire,16540,1682,697,372,141,625627,9029,4728,17956,490,16374,1874,783,343,145,607503,10684,4774,16403,479
2011,New Hampshire,17169,1716,719,382,148,624204,9411,4761,18671,499,17164,1960,822,378,157,607031,11151,4829,17140,496
