State,Year,wnhm,bnhm,ainhm,asnhm,pinhm,whm,bhm,aihm,ashm,pihm,wnhf,bnhf,ainhf,asnhf,pinhf,whf,bhf,aihf,ashf,pihf
Florida,2001,"5,230,173","1,181,714","51,331","161,548","10,424","1,357,999","64,016","14,108","7,396","3,209","5,498,107","1,278,486","52,143","180,573","10,206","1,354,803","62,809","12,073","7,482","2,735"
Florida,2000,"5,188,598","1,148,109","50,405","153,461","10,056","1,287,540","60,690","12,615","6,771","2,948","5,459,882","1,244,121","51,170","172,139","9,827","1,292,018","59,422","10,786","6,920","2,538"
Georgia,2005,"2,713,494","1,283,341","24,575","132,142","4,859","346,702","20,050","6,508","3,276","1,962","2,768,859","1,425,235","25,093","135,117","4,660","249,371","19,047","4,482","2,915","1,311"
Georgia,2004,"2,693,092","1,252,057","24,222","125,210","4,690","325,775","19,246","6,183","3,100","1,841","2,753,046","1,390,667","24,717","128,359","4,511","231,033","18,283","4,192","2,717","1,243"
Georgia,2003,"2,664,784","1,221,129","23,753","118,206","4,504","302,956","18,345","5,807","2,859","1,750","2,728,591","1,357,499","24,297","121,616","4,350","212,930","17,509","3,918","2,525","1,185"
Georgia,2002,"2,637,567","1,190,266","23,448","111,449","4,344","282,091","17,631","5,452","2,658","1,641","2,703,322","1,326,778","23,943","114,979","4,189","195,565","16,875","3,661","2,316","1,104"
Georgia,2001,"2,608,096","1,160,298","23,028","104,515","4,154","261,700","17,085","5,091","2,467","1,533","2,678,510","1,295,324","23,510","107,891","3,994","178,811","16,339","3,418","2,131",989
Georgia,2000,"2,573,891","1,125,558","22,544","97,601","3,945","240,265","16,485","4,717","2,267","1,403","2,648,796","1,261,704","22,965","100,937","3,819","160,475","15,769","3,144","1,897",899
Hawaii,2005,"238,050","21,372","9,851","329,636","126,177","37,204","2,585","3,185","20,619","14,802","217,842","16,099","9,488","361,751","125,597","33,068","2,364","3,310","21,666","15,256"
Hawaii,2004,"235,420","20,794","9,876","327,727","126,412","35,765","2,517","3,263","20,468","14,842","214,799","15,531","9,468","358,223","125,596","31,973","2,309","3,371","21,550","15,343"
Hawaii,2003,"231,831","20,404","9,854","325,510","126,573","34,585","2,442","3,315","20,520","15,073","211,104","15,126","9,447","354,392","125,485","31,181","2,240","3,451","21,661","15,557"
Hawaii,2002,"228,886","19,793","9,887","323,560","126,740","33,006","2,343","3,389","20,374","15,041","208,194","14,560","9,442","350,793","125,458","30,104","2,133","3,520","21,455","15,591"
Hawaii,2001,"226,947","19,099","9,899","321,763","127,007","30,997","2,252","3,422","19,952","14,894","205,798","13,720","9,462","347,859","125,537","28,871","2,094","3,585","21,221","15,550"
Hawaii,2000,"225,912","18,168","9,950","321,453","127,851","29,341","2,203","3,480","19,713","14,871","203,501","12,740","9,512","344,721","125,834","27,773","2,094","3,663","21,110","15,582"
Idaho,2005,"627,484","5,357","12,610","9,463","1,430","66,493","1,208","1,952",618,211,"631,727","4,216","12,814","10,488","1,287","57,830","1,210","1,921",563,215
Idaho,2004,"614,067","5,096","12,361","9,019","1,392","63,725","1,074","1,901",567,218,"618,328","3,965","12,575","10,040","1,269","55,234","1,076","1,877",525,204
Idaho,2003,"603,666","4,867","12,217","8,597","1,342","60,916",968,"1,861",550,201,"608,368","3,785","12,437","9,750","1,252","52,705",953,"1,831",484,192
Idaho,2002,"594,756","4,615","12,034","8,153","1,305","58,270",851,"1,829",512,189,"599,732","3,551","12,237","9,276","1,210","50,402",833,"1,798",460,183
Idaho,2001,"586,649","4,421","11,859","7,990","1,291","55,509",742,"1,789",478,175,"591,161","3,363","12,083","9,094","1,194","48,096",699,"1,758",412,169
Idaho,2000,"579,182","4,230","11,642","7,724","1,280","53,098",640,"1,745",461,168,"583,110","3,148","11,839","8,885","1,174","45,761",590,"1,734",395,157
Indiana,2005,"2,625,603","277,784","17,154","43,403","1,979","146,958","6,067","2,814","1,218",717,"2,723,303","301,088","17,225","44,403","1,952","121,803","5,850","2,436","1,195",478
Indiana,2004,"2,614,323","273,212","17,106","41,789","1,936","139,153","5,750","2,687","1,163",692,"2,714,653","296,487","17,145","42,720","1,897","115,210","5,556","2,321","1,109",462
Indiana,2003,"2,609,362","269,070","17,081","40,054","1,884","132,336","5,498","2,565","1,097",641,"2,712,357","292,394","17,067","40,898","1,843","109,358","5,329","2,245","1,039",440
Indiana,2002,"2,599,747","264,808","17,075","38,093","1,840","125,308","5,244","2,434","1,045",625,"2,704,758","287,655","17,092","39,015","1,798","103,373","5,094","2,126",991,420
Indiana,2001,"2,594,205","260,588","16,990","36,463","1,784","119,220","5,041","2,330",983,581,"2,702,785","283,429","17,016","37,416","1,755","98,204","4,895","2,048",924,389
Indiana,2000,"2,587,528","256,191","16,983","35,065","1,754","111,945","4,779","2,196",909,549,"2,699,315","278,718","16,978","36,237","1,721","92,222","4,594","1,944",853,363
Iowa,2005,"1,341,317","40,670","7,590","24,085",974,"56,037","1,938","1,392",478,190,"1,396,862","38,270","7,772","24,497",986,"47,311","1,816","1,238",505,140
Iowa,2004,"1,337,494","39,663","7,553","23,436",959,"53,681","1,813","1,334",457,179,"1,394,699","37,239","7,749","23,801",968,"45,312","1,693","1,200",470,138
Iowa,2003,"1,335,465","38,737","7,433","22,524",935,"51,155","1,683","1,268",421,171,"1,393,343","36,389","7,658","22,977",940,"43,029","1,559","1,132",430,135
Iowa,2002,"1,334,634","38,122","7,384","21,659",918,"48,698","1,567","1,207",394,148,"1,394,780","35,627","7,579","22,079",926,"40,822","1,423","1,095",407,117
Iowa,2001,"1,335,596","37,542","7,362","21,108",912,"46,015","1,385","1,126",356,147,"1,397,855","35,069","7,579","21,540",906,"38,432","1,296","1,028",374,116
Iowa,2000,"1,336,484","37,108","7,335","20,930",910,"43,353","1,245","1,062",335,137,"1,400,648","34,547","7,498","21,258",899,"35,976","1,167",978,348,110
Kansas,2005,"1,121,903","87,163","20,030","32,348","1,396","116,040","3,859","2,918",922,335,"1,155,627","86,296","20,487","33,152","1,340","100,502","3,802","2,500",801,333
Kansas,2004,"1,120,386","86,686","20,056","31,659","1,393","112,361","3,690","2,875",868,333,"1,155,310","85,875","20,441","32,317","1,332","97,138","3,643","2,449",778,320
Kansas,2003,"1,119,132","86,168","20,143","30,734","1,373","108,555","3,546","2,828",846,314,"1,156,468","85,345","20,587","31,415","1,322","93,875","3,493","2,432",744,311
