table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Nevada: April 1, 2000 to July 1, 2009",,,,,,,,,,,,
"Sex, Race, and Hispanic Origin",Population Estimates,,,,,,,,,,"April 1, 2000",
,"July 1, 2009","July 1, 2008","July 1, 2007","July 1, 2006","July 1, 2005","July 1, 2004","July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates Base,Census
FEMALE,"1,297,039","1,283,156","1,260,529","1,223,917","1,183,008","1,145,039","1,100,170","1,064,739","1,028,289","989,890","980,207","980,206"
.One Race,"1,260,013","1,247,210","1,225,957","1,191,180","1,152,084","1,115,873","1,072,827","1,038,834","1,003,892","967,030","957,716","957,715"
..White,"1,028,986","1,021,237","1,007,869","984,602","958,584","934,400","903,315","878,565","853,542","826,680","819,101","819,100"
..Black,"109,592","107,362","103,998","99,081","93,216","87,670","82,178","78,482","74,210","69,671","69,038","69,038"
..AIAN,"19,750","19,497","19,105","18,312","17,619","17,012","16,270","15,533","14,903","14,154","14,000","14,000"
..Asian,"94,408","91,984","88,085","82,655","76,562","70,979","65,578","60,989","56,315","51,921","51,037","51,037"
..NHPI,"7,277","7,130","6,900","6,530","6,103","5,812","5,486","5,265","4,922","4,604","4,540","4,540"
.Two or More Races,"37,026","35,946","34,572","32,737","30,924","29,166","27,343","25,905","24,397","22,860","22,491","22,491"
.Race alone or in combination:1,,,,,,,,,,,,
..White,"1,060,920","1,052,211","1,037,645","1,012,740","985,168","959,447","926,748","900,747","874,432","846,243","838,339","838,338"
..Black,"121,456","118,750","114,861","109,295","102,745","96,633","90,482","86,293","81,516","76,462","75,676","75,676"
..AIAN,"30,177","29,825","29,225","28,057","27,018","26,028","24,913","23,868","22,917","21,830","21,587","21,587"
..Asian,"111,790","108,802","104,184","97,833","90,818","84,334","78,018","72,714","67,265","62,097","61,062","61,062"
..NHPI,"13,759","13,398","12,901","12,192","11,416","10,778","10,139","9,647","8,988","8,369","8,244","8,244"
.NOT HISPANIC,"968,299","964,663","955,366","937,852","916,847","896,449","868,444","847,118","825,825","803,111","796,359","796,358"
..One Race,"937,169","934,384","926,144","910,044","890,440","871,431","844,889","824,684","804,588","783,101","776,665","776,664"
...White,"726,295","727,609","726,161","720,163","712,134","703,802","687,884","675,673","664,291","651,595","646,755","646,754"
...Black,"98,657","97,133","94,518","90,497","85,625","80,955","76,325","73,355","69,857","66,103","65,523","65,523"
...AIAN,"14,131","14,038","13,858","13,384","13,002","12,695","12,256","11,893","11,545","11,055","10,950","10,950"
...Asian,"91,806","89,451","85,648","80,361","74,413","68,956","63,675","59,190","54,616","50,332","49,477","49,477"
...NHPI,"6,280","6,153","5,959","5,639","5,266","5,023","4,749","4,573","4,279","4,016","3,960","3,960"
..Two or More Races,"31,130","30,279","29,222","27,808","26,407","25,018","23,555","22,434","21,237","20,010","19,694","19,694"
..Race alone or in combination:1,,,,,,,,,,,,
