table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Georgia: April 1, 2000 to July 1, 2009",,,,,,,,,,,,
"Sex, Race, and Hispanic Origin",Population Estimates,,,,,,,,,,"April 1, 2000",
,"July 1, 2009","July 1, 2008","July 1, 2007","July 1, 2006","July 1, 2005","July 1, 2004","July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates Base,Census
...NHPI,"2,777","2,617","2,496","2,366","2,215","2,088","1,961","1,846","1,738","1,648","1,632","1,632"
..Two or More Races,"60,259","57,852","55,085","51,719","48,524","45,723","42,840","40,302","37,700","34,920","34,489","34,488"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"2,913,596","2,899,170","2,877,336","2,842,769","2,809,625","2,774,146","2,748,423","2,716,478","2,684,587","2,648,915","2,638,069","2,638,018"
...Black,"1,582,101","1,554,150","1,521,273","1,477,109","1,426,708","1,388,436","1,356,743","1,326,175","1,294,871","1,262,184","1,254,733","1,254,630"
...AIAN,"32,332","31,487","30,629","29,579","28,331","27,343","26,413","25,482","24,532","23,405","23,233","23,231"
...Asian,"163,790","158,420","152,016","144,571","136,239","128,740","121,943","115,538","108,614","101,451","100,113","100,113"
...NHPI,"6,465","6,204","5,905","5,593","5,247","4,933","4,654","4,399","4,110","3,865","3,839","3,838"
.HISPANIC,"360,784","343,780","324,134","299,374","275,319","253,434","234,344","216,562","198,594","179,227","176,953","176,943"
..One Race,"354,994","338,363","319,086","294,749","271,092","249,570","230,807","213,308","195,656","176,609","174,376","174,367"
...White,"325,413","310,467","292,651","269,643","247,292","226,950","209,231","192,681","176,054","158,042","156,036","156,028"
...Black,"21,077","19,907","18,962","18,156","17,332","16,625","15,975","15,414","14,886","14,329","14,156","14,155"
...AIAN,"4,866","4,550","4,208","3,871","3,547","3,234","2,984","2,743","2,479","2,231","2,203","2,203"
...Asian,"2,516","2,354","2,223","2,076","1,949","1,822","1,704","1,592","1,437","1,292","1,274","1,274"
...NHPI,"1,122","1,085","1,042","1,003",972,939,913,878,800,715,707,707
..Two or More Races,"5,790","5,417","5,048","4,625","4,227","3,864","3,537","3,254","2,938","2,618","2,577","2,576"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"330,165","314,910","296,786","273,428","250,756","230,099","212,116","195,338","178,460","160,158","158,119","158,111"
...Black,"24,500","23,106","21,913","20,861","19,807","18,885","18,041","17,306","16,584","15,855","15,662","15,661"
