table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Missouri: April 1, 2000 to July 1, 2009",,,,,,,,,,,,
"Sex, Race, and Hispanic Origin",Population Estimates,,,,,,,,,,"April 1, 2000",
,"July 1, 2009","July 1, 2008","July 1, 2007","July 1, 2006","July 1, 2005","July 1, 2004","July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates Base,Census
..NHPI,"2,303","2,242","2,185","2,129","2,037","1,936","1,895","1,843","1,754","1,658","1,647","1,647"
.Two or More Races,"44,559","43,435","42,157","40,805","39,515","38,181","36,971","35,910","34,753","33,470","33,163","33,162"
.Race alone or in combination:1,,,,,,,,,,,,
..White,"2,627,331","2,616,930","2,598,872","2,580,676","2,559,697","2,541,865","2,527,716","2,515,716","2,503,423","2,490,512","2,487,549","2,487,560"
..Black,"383,608","380,500","376,714","373,668","369,151","365,076","360,914","357,724","354,271","350,235","349,218","349,215"
..AIAN,"35,293","34,931","34,418","33,840","33,317","32,784","32,221","31,723","31,231","30,646","30,547","30,548"
..Asian,"57,951","56,158","54,167","52,266","49,883","47,642","45,655","43,773","41,865","40,025","39,527","39,530"
..NHPI,"4,735","4,630","4,505","4,355","4,180","3,999","3,898","3,797","3,642","3,485","3,344","3,344"
.NOT HISPANIC,"2,965,049","2,954,624","2,935,897","2,918,211","2,896,141","2,877,269","2,861,829","2,849,561","2,836,688","2,822,795","2,818,937","2,818,951"
..One Race,"2,922,925","2,913,524","2,895,962","2,879,530","2,858,634","2,840,987","2,826,662","2,815,363","2,803,562","2,790,871","2,787,305","2,787,319"
...White,"2,500,418","2,494,764","2,481,806","2,469,152","2,453,977","2,441,439","2,432,178","2,425,020","2,417,667","2,409,854","2,407,563","2,407,574"
...Black,"359,888","357,764","355,014","353,012","349,534","346,478","343,286","340,948","338,308","335,208","334,342","334,340"
...AIAN,"13,407","13,263","13,055","12,826","12,628","12,479","12,258","12,032","11,861","11,631","11,576","11,577"
...Asian,"47,177","45,746","44,142","42,643","40,678","38,868","37,247","35,708","34,153","32,693","32,351","32,355"
...NHPI,"2,035","1,987","1,945","1,897","1,817","1,723","1,693","1,655","1,573","1,485","1,473","1,473"
..Two or More Races,"42,124","41,100","39,935","38,681","37,507","36,282","35,167","34,198","33,126","31,924","31,632","31,632"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"2,538,768","2,532,137","2,518,084","2,504,252","2,487,964","2,474,276","2,463,968","2,455,872","2,447,514","2,438,565","2,436,096","2,436,107"
...Black,"377,726","374,942","371,450","368,672","364,483","360,712","356,859","353,922","350,670","346,868","345,883","345,881"
...AIAN,"32,218","31,962","31,579","31,122","30,747","30,348","29,903","29,521","29,139","28,654","28,567","28,568"
...Asian,"56,672","54,928","53,009","51,161","48,854","46,682","44,747","42,928","41,058","39,263","38,773","38,777"
...NHPI,"4,185","4,098","4,005","3,888","3,745","3,592","3,511","3,433","3,307","3,158","3,019","3,019"
.HISPANIC,"96,529","92,373","87,993","83,264","78,131","73,580","69,349","65,103","60,894","56,614","56,084","56,083"
..One Race,"94,094","90,038","85,771","81,140","76,123","71,681","67,545","63,391","59,267","55,068","54,553","54,553"
...White,"86,461","82,774","78,873","74,590","69,995","65,944","62,184","58,366","54,510","50,620","50,128","50,128"
...Black,"4,861","4,601","4,351","4,122","3,853","3,586","3,332","3,112","2,946","2,746","2,727","2,727"
...AIAN,"1,815","1,752","1,676","1,596","1,494","1,407","1,332","1,259","1,186","1,109","1,104","1,104"
...Asian,689,656,631,600,561,531,495,466,444,420,420,420
...NHPI,268,255,240,232,220,213,202,188,181,173,174,174
..Two or More Races,"2,435","2,335","2,222","2,124","2,008","1,899","1,804","1,712","1,627","1,546","1,531","1,530"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"88,563","84,793","80,788","76,424","71,733","67,589","63,748","59,844","55,909","51,947","51,453","51,453"
...Black,"5,882","5,558","5,264","4,996","4,668","4,364","4,055","3,802","3,601","3,367","3,335","3,334"
...AIAN,"3,075","2,969","2,839","2,718","2,570","2,436","2,318","2,202","2,092","1,992","1,980","1,980"
...Asian,"1,279","1,230","1,158","1,105","1,029",960,908,845,807,762,754,753
...NHPI,550,532,500,467,435,407,387,364,335,327,325,325
1 'In combination' means in combination with one or more other races.  The sum of the five race groups adds to more than the total population because individuals may report more than one race.,,,,,,,,,,,,
"Note: The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program and geographic program revisions.  Hispanic origin is considered an ethnicity, not a race.  Hispanics may be of any race.  Abbreviations: Black = Black or African American; AIAN = American Indian and Alaska Native; NHPI = Native Hawaiian and Other Pacific Islander.  The original race data from Census 2000 are modified to eliminate the ""Some Other Race"" category. For more information see https://www.census.gov/popest/archives/files/MRSF-01-US1.html.",,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Missouri: April 1, 2000 to July 1, 2009 (SC-EST2009-03-29)",,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,
Release Date: June 2010,,,,,,,,,,,,
,,,,,,,,,,,,
