"","State","Year","Month","quantity.sum","total_cost.sum","npr_ammo_quantity.sum","npr_ammo_totalcost.sum","npr_armor_quantity.sum","npr_armor_totalcost.sum","npr_bags_quantity.sum","npr_bags_totalcost.sum","npr_boats_quantity.sum","npr_boats_totalcost.sum","npr_camping_quantity.sum","npr_camping_totalcost.sum","npr_car_quantity.sum","npr_car_totalcost.sum","npr_cooking_quantity.sum","npr_cooking_totalcost.sum","npr_clothing_quantity.sum","npr_clothing_totalcost.sum","npr_disaster_quantity.sum","npr_disaster_totalcost.sum","npr_electro_quantity.sum","npr_electro_totalcost.sum","npr_farming_quantity.sum","npr_farming_totalcost.sum","npr_generator_quantity.sum","npr_generator_totalcost.sum","npr_guncase_quantity.sum","npr_guncase_totalcost.sum","npr_lights_quantity.sum","npr_lights_totalcost.sum","npr_material_quantity.sum","npr_material_totalcost.sum","npr_med_quantity.sum","npr_med_totalcost.sum","npr_office_quantity.sum","npr_office_totalcost.sum","npr_plane_quantity.sum","npr_plane_totalcost.sum","npr_quallife_quantity.sum","npr_quallife_totalcost.sum","npr_record_quantity.sum","npr_record_totalcost.sum","npr_rope_quantity.sum","npr_rope_totalcost.sum","npr_shipping_quantity.sum","npr_shipping_totalcost.sum","npr_signs_quantity.sum","npr_signs_totalcost.sum","npr_training_quantity.sum","npr_training_totalcost.sum","npr_tools_quantity.sum","npr_tools_totalcost.sum","npr_weapon_quantity.sum","npr_weapon_totalcost.sum","State","Year","Month","day.mean"
"38","Alabama","2010","January",155,382277.93,0,0,3,431.58,0,0,0,0,0,0,0,0,0,0,0,0,17,1106.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2559.38,16,56722.81,0,0,0,0,0,0,0,0,0,0,80,5145.01,"Alabama","2010","January",18.2222222222222
"39","Alabama","2010","February",202,12456.36,30,15.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3912.06,0,0,0,0,0,0,150,10.12,0,0,6,349.36,"Alabama","2010","February",17
"40","Alabama","2010","March",417,418768.75,2,4.23,74,397.08,0,0,0,0,0,0,0,0,0,0,60,30.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1217.66,0,0,0,0,9,8000,49,35460.1,0,0,0,0,0,0,100,5.06,20,0.95,31,699.32,"Alabama","2010","March",14.3030303030303
"41","Alabama","2010","April",408,418451.3,175,12.69,0,0,0,0,0,0,18,594.64,0,0,0,0,0,0,10,2244.86,0,0,0,0,0,0,0,0,2,226.06,0,0,0,0,0,0,0,0,0,0,17,13685.31,0,0,0,0,0,0,0,0,1,3880,162,131060.33,"Alabama","2010","April",15.75
"42","Alabama","2010","May",97,252420.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4064,56,36039.36,0,0,0,0,0,0,0,0,0,0,13,127530.19,"Alabama","2010","May",7.43333333333333
"43","Alabama","2010","June",191,227524.11,0,0,2,271.15,0,0,0,0,0,0,0,0,0,0,25,15.16,16,1065.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,13261.95,0,0,0,0,0,0,0,0,0,0,41,1696.98,"Alabama","2010","June",13.1714285714286
"44","Alabama","2010","July",89,317826.95,0,0,14,450.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,25070.41,0,0,0,0,0,0,0,0,0,0,21,126784.89,"Alabama","2010","July",16.5
"45","Alabama","2010","August",217,594264.38,0,0,0,0,0,0,0,0,0,0,4,310088,0,0,35,20,1,193058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,27015.54,"Alabama","2010","August",8.5
"46","Alabama","2010","September",180,405669.48,0,0,4,663.57,0,0,0,0,0,0,2,1257.06,0,0,0,0,5,38.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,51172.51,50,5.21,0,0,0,0,0,0,0,0,0,0,"Alabama","2010","September",18.0714285714286
"47","Alabama","2010","October",137,61462.87,0,0,0,0,0,0,0,0,10,297.32,1,25000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,392.42,6,3890.81,8,903.98,0,0,0,0,0,0,0,0,0,0,75,5567.15,"Alabama","2010","October",26.1704545454545
"48","Alabama","2010","November",766,95399.51,517,50.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,182.63,2,1445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,490.12,0,0,29,21856.05,4,5.21,0,0,0,0,0,0,0,0,180,4441.46,"Alabama","2010","November",11
"49","Alabama","2010","December",236,205047.01,47,18.62,0,0,0,0,0,0,0,0,0,0,0,0,28,36.85,0,0,0,0,0,0,0,0,0,0,8,7753.37,0,0,0,0,0,0,0,0,3,18995.87,17,5107,7,5.21,0,0,0,0,0,0,0,0,124,15161.01,"Alabama","2010","December",21.2931034482759
"50","Alabama","2011","January",211,134532.82,4,474.34,24,1143.06,0,0,0,0,0,0,19,3318.49,0,0,18,15.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2559.38,35,25513.95,0,0,0,0,0,0,0,0,0,0,43,15740.23,"Alabama","2011","January",17.8285714285714
"51","Alabama","2011","February",264,137083.9,6,5.41,14,271.15,0,0,0,0,0,0,21,47604,0,0,1,49.33,2,8368,0,0,0,0,0,0,0,0,0,0,0,0,2,340.33,0,0,0,0,0,0,15,2984.05,2,130,0,0,0,0,0,0,0,0,161,17192.29,"Alabama","2011","February",3.44444444444444
"52","Alabama","2011","March",299,300468.4,50,9.31,4,8689.71,0,0,0,0,0,0,7,202668,0,0,0,0,10,2151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8168.9,1,2081,7,1980.08,0,0,0,0,0,0,0,0,0,0,210,33214.97,"Alabama","2011","March",12.9736842105263
"53","Alabama","2011","April",270,476867.99,4,79.61,9,271.15,0,0,0,0,10,297.32,9,169471.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,629.81,0,0,0,0,0,0,14,49964.97,0,0,47,12935.1,0,0,0,0,0,0,0,0,0,0,171,25993.04,"Alabama","2011","April",23.5684210526316
"54","Alabama","2011","May",376,335764.11,0,0,1,25.12,6,206.08,0,0,0,0,5,123323.96,0,0,212,182.49,0,0,1,5431,0,0,0,0,0,0,10,273.83,0,0,0,0,0,0,0,0,0,0,35,39577.6,0,0,0,0,0,0,0,0,3,1158,94,1441.41,"Alabama","2011","May",18.2162162162162
"55","Alabama","2011","June",455,666955.29,200,9.31,14,9189.9,0,0,0,0,0,0,4,130715.72,0,0,30,20.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,402445.05,0,0,0,0,0,0,0,0,0,0,55,2853.58,"Alabama","2011","June",13.5263157894737
"56","Alabama","2011","July",512,2213771.51,11,180.73,38,99135.9,0,0,0,0,0,0,7,189585.19,0,0,111,163.12,9,6564.61,5,2192,0,0,55,502,0,0,25,339.41,0,0,0,0,0,0,1,84.22,0,0,108,175135.02,0,0,0,0,0,0,0,0,0,0,116,594524,"Alabama","2011","July",17.1232876712329
"57","Alabama","2011","August",1256,776631.44,760,43.5,39,18308.99,0,0,0,0,0,0,13,256290.67,0,0,20,20.3,0,0,16,4960.78,0,0,0,0,0,0,0,0,0,0,0,0,4,1.13,0,0,0,0,85,53287.5,0,0,0,0,0,0,2,0,0,0,267,9292.3,"Alabama","2011","August",10.4950495049505
"58","Alabama","2011","September",567,895288.63,119,36.81,45,21101.9,0,0,0,0,0,0,23,595499.44,0,0,0,0,0,0,1,1451.2,0,0,0,0,0,0,0,0,0,0,1,50.36,0,0,0,0,0,0,164,147625.19,0,0,0,0,0,0,0,0,13,119.52,101,2948.59,"Alabama","2011","September",13.7202797202797
"59","Alabama","2011","October",980,959950.14,130,121.96,3,258.3,0,0,0,0,0,0,38,505187.76,0,0,59,203.4,2,182.63,0,0,0,0,14,4625.6,0,0,10,339.41,0,0,7,21100.72,2,920,0,0,0,0,124,61015.97,0,0,0,0,0,0,0,0,0,0,252,232401.29,"Alabama","2011","October",19.4322580645161
"60","Alabama","2011","November",391,1095461.18,0,0,1,11014.43,0,0,0,0,0,0,22,379396.99,0,0,1,15.16,0,0,2,7058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4000,60,45097.73,25,468.76,0,0,0,0,0,0,5,7470.01,235,16479.53,"Alabama","2011","November",16.4174757281553
"61","Alabama","2011","December",1141,988524.73,138,33.99,60,629.63,0,0,0,0,0,0,20,659992.4,0,0,226,178.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,920,1,603.19,0,0,59,4831.25,0,0,0,0,0,0,0,0,0,0,601,11867.81,"Alabama","2011","December",11.6455696202532
"62","Alabama","2012","January",7711,5674278.15,567,15886.01,61,448.51,250,1972.3,0,0,280,50712.98,40,833905,160,5234.8,262,1537.27,62,1301617.6,202,576.28,4,365135,14,4388.61,0,0,8,550.72,300,30.87,53,21777.97,22,471.89,24,2321.66,230,24635.45,80,123464.76,10,8.77,0,0,0,0,0,0,43,4645.14,393,17971.02,"Alabama","2012","January",18.1229357798165
"63","Alabama","2012","February",7343,5434394.3,31,136.44,93,8921.68,581,2559.22,0,0,207,36479.11,79,2449313.46,25,36.23,759,1364.27,313,6922.88,917,1481.35,6,629375,0,0,0,0,16,1810.48,1,454.17,87,9656.56,260,1168.55,63,2438.72,217,11590.04,224,324062.11,1,491,23,10709.79,3,34.98,0,0,115,17113.37,704,6595.03,"Alabama","2012","February",16.1411411411411
"64","Alabama","2012","March",11600,6967570.63,901,143.21,67,6713.45,419,1258.19,0,0,220,49252.84,114,2340577.82,5,887.32,288,1622.87,2,7.18,12,2297.85,8,477971.19,17,5404.92,0,0,65,9922.51,79,14.21,445,58837.39,13,8738.55,44,2825.81,2050,30472.79,255,325590.79,36,293.08,2,25807,60,66.54,1,686,387,66401.54,362,42967.08,"Alabama","2012","March",17.1989690721649
"65","Alabama","2012","April",8094,8999711.04,27,12007.19,170,19797.13,419,1839.73,2,6153.87,481,27787.12,203,3287326.45,2,250,609,2379.38,201,20384.92,13,8112.82,8,674217,4,3104.44,0,0,36,523.52,5,140.73,336,67341.57,28,1847.87,26,5538.97,1001,34044.46,401,1848104.15,29,376.59,12,24563.45,3,96.76,0,0,260,19181.4,515,49608.98,"Alabama","2012","April",16.4929178470255
