"","State","Year","Month","quantity.sum","total_cost.sum","policeweapon_quantity.sum","policeweapon_totalcost.sum","policerecord_quantity.sum","policerecord_totalcost.sum","policeammo_quantity.sum","policeammo_totalcost.sum","policecar_quantity.sum","policecar_totalcost.sum","disaster_quantity.sum","disaster_totalcost.sum","medical_quantity.sum","medical_totalcost.sum","State.1","Year.1","Month.1","day.mean","army_clothing_bags_quantity.sum","army_clothing_bags_totalcost.sum"
"116","Alaska",2014,"February",3,0,0,0,1,0,0,0,2,0,0,0,0,0,"Alaska",2014,"February",12.3333333333333,0,0
"117","Alaska",2014,"March",2,0,0,0,0,0,0,0,0,0,0,0,0,0,"Alaska",2014,"March",14,0,0
"3555","Arizona",2005,"December",638,956564.81,513,399513.81,9,218587,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0
"124","Arizona",2006,"August",12,15336,12,15336,0,0,0,0,0,0,0,0,0,0,"Arizona",2006,"August",8,0,0
"126","Arizona",2006,"December",485,194538.36,485,194538.36,0,0,0,0,0,0,0,0,0,0,"Arizona",2006,"December",7.0639175257732,0,0
"119","Arizona",2006,"January",15,7485,15,7485,0,0,0,0,0,0,0,0,0,0,"Arizona",2006,"January",25,0,0
"123","Arizona",2006,"July",84,50852,83,31490,1,19362,0,0,0,0,0,0,0,0,"Arizona",2006,"July",11.1904761904762,0,0
"122","Arizona",2006,"June",59,394499,51,24366,5,96810,0,0,0,0,0,0,0,0,"Arizona",2006,"June",9.50909090909091,0,0
"120","Arizona",2006,"March",26,12974,26,12974,0,0,0,0,0,0,0,0,0,0,"Arizona",2006,"March",16.2307692307692,0,0
"121","Arizona",2006,"May",2,998,2,998,0,0,0,0,0,0,0,0,0,0,"Arizona",2006,"May",31,0,0
"125","Arizona",2006,"September",60,5805.38,60,5805.38,0,0,0,0,0,0,0,0,0,0,"Arizona",2006,"September",21,0,0
"128","Arizona",2007,"July",14,6986,14,6986,0,0,0,0,0,0,0,0,0,0,"Arizona",2007,"July",27,0,0
"127","Arizona",2007,"March",8,1104,8,1104,0,0,0,0,0,0,0,0,0,0,"Arizona",2007,"March",16,0,0
"131","Arizona",2007,"November",127,7280.04,124,7280.04,0,0,0,0,0,0,0,0,0,0,"Arizona",2007,"November",27.4803149606299,0,0
"130","Arizona",2007,"October",4,566214,0,0,0,0,0,0,0,0,0,0,0,0,"Arizona",2007,"October",29.25,0,0
"129","Arizona",2007,"September",8,1104,8,1104,0,0,0,0,0,0,0,0,0,0,"Arizona",2007,"September",25,0,0
"133","Arizona",2008,"April",9,2325,9,2325,0,0,0,0,0,0,0,0,0,0,"Arizona",2008,"April",15,0,0
"140","Arizona",2008,"December",60,329918.6,0,0,60,329918.6,0,0,0,0,0,0,0,0,"Arizona",2008,"December",9,0,0
"132","Arizona",2008,"February",43,21457,43,21457,0,0,0,0,0,0,0,0,0,0,"Arizona",2008,"February",11,0,0
"136","Arizona",2008,"July",14,92749.44,0,0,14,92749.44,0,0,0,0,0,0,0,0,"Arizona",2008,"July",9,0,0
"135","Arizona",2008,"June",25,102964.4,0,0,25,102964.4,0,0,0,0,0,0,0,0,"Arizona",2008,"June",15.8,0,0
"134","Arizona",2008,"May",158,1046743.68,0,0,158,1046743.68,0,0,0,0,0,0,0,0,"Arizona",2008,"May",22,0,0
"139","Arizona",2008,"November",101,334468.82,79,10902,22,323566.82,0,0,0,0,0,0,0,0,"Arizona",2008,"November",13.0609756097561,0,0
"138","Arizona",2008,"October",99,564292.84,80,15776.84,18,348516,0,0,0,0,0,0,0,0,"Arizona",2008,"October",12.109756097561,0,0
"137","Arizona",2008,"September",10,266174,8,1104,0,0,0,0,0,0,0,0,0,0,"Arizona",2008,"September",5.2,0,0
"144","Arizona",2009,"April",90,10608.9,30,438.9,10,9400,0,0,0,0,0,0,0,0,"Arizona",2009,"April",25,0,0
"151","Arizona",2009,"December",14,72526.88,0,0,8,7292,0,0,1,0,4,164.88,0,0,"Arizona",2009,"December",9.6,0,0
"142","Arizona",2009,"February",167,137866.98,24,5679.2,118,81596.78,0,0,0,0,0,0,0,0,"Arizona",2009,"February",15.7368421052632,0,0
