"","State","Year","Month","Quantity.sum","Acquisition.Value.sum","policeweapon_quantity.sum","policeweapon_totalcost.sum","policerecord_quantity.sum","policerecord_totalcost.sum","policeammo_quantity.sum","policeammo_totalcost.sum","policecar_quantity.sum","policecar_totalcost.sum","disaster_quantity.sum","disaster_totalcost.sum","medical_quantity.sum","medical_totalcost.sum","State","Year","Month","day.mean"
"115","Alabama","2015","July",1305,1818019.08,45,11597.52,9,7416,130,37.24,1,16400,0,0,0,0,"Alabama","2015","July",17.3825136612022
"116","Alabama","2015","August",1195,2779395.98,108,7424.96,36,159121.47,54,27597.06,0,0,0,0,0,0,"Alabama","2015","August",18.2789699570815
"117","Alabama","2015","September",2025,6431220.53,78,10713.79,40,32234.83,174,39.06,2,75599.3,0,0,0,0,"Alabama","2015","September",13.6941176470588
"118","Alaska","1998","May",9,38700,0,0,9,38700,0,0,0,0,0,0,0,0,"Alaska","1998","May",19
"119","Alaska","2006","May",38,15713,38,15713,0,0,0,0,0,0,0,0,0,0,"Alaska","2006","May",19
"120","Alaska","2007","May",4,552,4,552,0,0,0,0,0,0,0,0,0,0,"Alaska","2007","May",7
"121","Alaska","2010","July",20,662,20,662,0,0,0,0,0,0,0,0,0,0,"Alaska","2010","July",15
"122","Alaska","2010","October",4,662,4,662,0,0,0,0,0,0,0,0,0,0,"Alaska","2010","October",17
"123","Alaska","2011","February",2,662,2,662,0,0,0,0,0,0,0,0,0,0,"Alaska","2011","February",1
"124","Alaska","2011","June",8,331,8,331,0,0,0,0,0,0,0,0,0,0,"Alaska","2011","June",9
"125","Alaska","2012","May",1,10000,0,0,0,0,0,0,0,0,0,0,0,0,"Alaska","2012","May",24
"126","Alaska","2012","August",123,61377,123,61377,0,0,0,0,0,0,0,0,0,0,"Alaska","2012","August",30
"127","Alaska","2014","February",1,129477,0,0,1,129477,0,0,0,0,0,0,0,0,"Alaska","2014","February",25
"128","Alaska","2014","March",166,47654.32,63,2501.46,18,3278.05,3,44.87,0,0,0,0,0,0,"Alaska","2014","March",18
"129","Alaska","2014","April",35,558.76,0,0,0,0,0,0,0,0,0,0,0,0,"Alaska","2014","April",14
"130","Alaska","2014","November",102,2516.65,0,0,0,0,100,12.11,0,0,0,0,0,0,"Alaska","2014","November",19.3333333333333
"131","Alaska","2014","December",26,25733.41,1,331,11,2088,0,0,0,0,0,0,0,0,"Alaska","2014","December",19.2
"132","Alaska","2015","February",24,331,24,331,0,0,0,0,0,0,0,0,0,0,"Alaska","2015","February",19
"133","Arizona","1991","December",4,16420,0,0,4,16420,0,0,0,0,0,0,0,0,"Arizona","1991","December",2
"134","Arizona","1992","September",3,7050,0,0,3,7050,0,0,0,0,0,0,0,0,"Arizona","1992","September",8
"135","Arizona","1995","January",4,8832,0,0,0,0,0,0,0,0,0,0,0,0,"Arizona","1995","January",23
"136","Arizona","1995","March",100,220800,0,0,0,0,0,0,0,0,0,0,0,0,"Arizona","1995","March",2
"137","Arizona","1995","September",1,65070,1,65070,0,0,0,0,0,0,0,0,0,0,"Arizona","1995","September",5
"138","Arizona","1996","May",10,22080,0,0,0,0,0,0,0,0,0,0,0,0,"Arizona","1996","May",30
"139","Arizona","1998","May",1,4300,0,0,1,4300,0,0,0,0,0,0,0,0,"Arizona","1998","May",20
"140","Arizona","2000","October",2,130140,2,130140,0,0,0,0,0,0,0,0,0,0,"Arizona","2000","October",21.5
"141","Arizona","2005","December",4,1996,4,1996,0,0,0,0,0,0,0,0,0,0,"Arizona","2005","December",13
"142","Arizona","2006","January",11,5489,11,5489,0,0,0,0,0,0,0,0,0,0,"Arizona","2006","January",25
"143","Arizona","2006","March",26,7920,26,7920,0,0,0,0,0,0,0,0,0,0,"Arizona","2006","March",16.2307692307692
"144","Arizona","2006","May",2,998,2,998,0,0,0,0,0,0,0,0,0,0,"Arizona","2006","May",31
"145","Arizona","2006","June",51,301521,48,23952,1,190817,0,0,0,0,0,0,0,0,"Arizona","2006","June",9.54901960784314
"146","Arizona","2006","July",83,31490,83,31490,0,0,0,0,0,0,0,0,0,0,"Arizona","2006","July",11
"147","Arizona","2006","August",12,15336,12,15336,0,0,0,0,0,0,0,0,0,0,"Arizona","2006","August",8
