"","State","Year","Month","civil_noninstitutionalpop","laborforce","percentlaborforce","totalemploy","peremploy","totalunemploy","unemployrate"
"14198","Utah","1998","April",1517842,1093981,72.1,1054300,69.5,39681,3.6
"14199","Vermont","1998","April",462437,332444,71.9,320894,69.4,11550,3.5
"14200","Virginia","1998","April",5157765,3464865,67.2,3365041,65.2,99824,2.9
"14201","Washington","1998","April",4333320,3032489,70,2891797,66.7,140692,4.6
"14202","West Virginia","1998","April",1434649,795445,55.4,741779,51.7,53666,6.7
"14203","Wisconsin","1998","April",4007549,2972058,74.2,2878967,71.8,93091,3.1
"14204","Wyoming","1998","April",366148,256522,70.1,244609,66.8,11913,4.6
"14205","Alabama","1998","May",3339010,2139139,64.1,2046887,61.3,92252,4.3
"14206","Alaska","1998","May",426129,315575,74.1,295743,69.4,19832,6.3
"14207","Arizona","1998","May",3669163,2370768,64.6,2270458,61.9,100310,4.2
"14208","Arkansas","1998","May",1978589,1238549,62.6,1174643,59.4,63906,5.2
"14209","California","1998","May",24211244,16101656,66.5,15144361,62.6,957295,5.9
"14211","Colorado","1998","May",3100728,2305562,74.4,2219940,71.6,85622,3.7
"14212","Connecticut","1998","May",2571771,1738095,67.6,1677551,65.2,60544,3.5
"14213","Delaware","1998","May",580683,394876,68,379557,65.4,15319,3.9
"14214","District of Columbia","1998","May",451926,293132,64.9,267652,59.2,25480,8.7
"14215","Florida","1998","May",12026877,7496089,62.3,7170483,59.6,325606,4.3
"14216","Georgia","1998","May",5836098,4058131,69.5,3884731,66.6,173400,4.3
"14217","Hawaii","1998","May",895247,600928,67.1,564236,63,36692,6.1
"14218","Idaho","1998","May",914013,647178,70.8,614161,67.2,33017,5.1
"14219","Illinois","1998","May",9220141,6315634,68.5,6046328,65.6,269306,4.3
"14220","Indiana","1998","May",4534306,3113947,68.7,3023697,66.7,90250,2.9
"14221","Iowa","1998","May",2212138,1595883,72.1,1552325,70.2,43558,2.7
"14222","Kansas","1998","May",1972193,1412072,71.6,1362012,69.1,50060,3.5
"14223","Kentucky","1998","May",3031028,1929908,63.7,1840896,60.7,89012,4.6
"14224","Louisiana","1998","May",3260151,2053249,63,1933622,59.3,119627,5.8
"14225","Maine","1998","May",974660,650524,66.7,621787,63.8,28737,4.4
"14226","Maryland","1998","May",3914292,2763321,70.6,2638260,67.4,125061,4.5
"14227","Massachusetts","1998","May",4848997,3330344,68.7,3221377,66.4,108967,3.3
"14228","Michigan","1998","May",7427676,4998490,67.3,4811187,64.8,187303,3.7
"14229","Minnesota","1998","May",3619191,2706252,74.8,2636017,72.8,70235,2.6
"14230","Mississippi","1998","May",2065291,1273970,61.7,1206774,58.4,67196,5.3
"14231","Missouri","1998","May",4159737,2920745,70.2,2793036,67.1,127709,4.4
"14232","Montana","1998","May",675593,458772,67.9,433432,64.2,25340,5.5
